#Archive/File	Name	Time	Size	Type
Archive	GSE101512_RAW.tar	01/26/2018 08:46:34	676229120	TAR
File	GSM2705231_CEMATACControl_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:48	1968641	BED
File	GSM2705231_CEMATACcontrol_vs_genCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:48	840714	BED
File	GSM2705232_CEMATACCPT2H_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:48	1896817	BED
File	GSM2705232_CEMATACCPT2h_vs_genCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT2.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:49	600865	BED
File	GSM2705233_CEMATACCPT4H_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:50	2305346	BED
File	GSM2705233_CEMATACCPT4H_vs_geneCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT4.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:50	633584	BED
File	GSM2705234_CB45ATACcontrol_vs_genCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:50	2557624	BED
File	GSM2705234_CB45ATACcontrol_vs_genCB45_SICER_result_cluster_details_sample_1_CB45_KO.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:51	846776	BED
File	GSM2705235_CB45ATACHU2H_gCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:52	3885152	BED
File	GSM2705235_CB45ATCCPT2H_vs_geneCB45SICER_result_cluster_details_sample_1_CB45_KO_2.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:52	701730	BED
File	GSM2705236_CB45ATACHU4H_gCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz	07/17/2017 11:08:53	3975579	BED
File	GSM2705236_CB45ATCCPT4H_vs_geneCB45SICER_result_cluster_details_sample_1_CB45_KO_4.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz	07/17/2017 11:08:53	672134	BED
File	GSM2856212_K562Vec_0.sorted.bam.bed.gz	11/14/2017 10:53:39	68439599	BED
File	GSM2856213_K562Vec_1000.sorted.bam.bed.gz	11/14/2017 10:53:56	78043890	BED
File	GSM2856214_K562SLFN11_0.sorted.bam.bed.gz	11/14/2017 10:54:26	139977852	BED
File	GSM2856215_K562SLFN11_1000.sorted.bam.bed.gz	11/14/2017 10:54:43	77659216	BED
File	GSM2856216_K562E669Q_0.sorted.bam.bed.gz	11/14/2017 10:55:04	97141537	BED
File	GSM2856217_K562E669Q_1000.sorted.bam.bed.gz	11/14/2017 10:55:46	194053924	BED
